type|area|item|status|priority|reason_no|reason_en
frameworks|frontend|Svelte/ svelte-kit|TRIAL|TRUE|Svelte-kit er Svelte-alternativet til Next (der Next baserer seg på React). Apper skrevet i Svelte-kit blir mindre, men mengden tilgjengelige funksjoner er noe mindre i SvelteKit for tiden. Velg Next om du er i tvil.|Svelte-kit is the Svelte alternative to Next (where Next is based on React). Apps written in Svelte-kit are smaller, but the amount of available features is somewhat less in SvelteKit at the moment. Choose Next if you are in doubt.
frameworks|frontend|Fastify/koa (erstatning for Express)|TRIAL|TRUE|To webrammeverk for Node.js som er arvtakere for Express med noen viktige forskjeller seg imellom: Fastify vektlegger konvensjon over konfigurasjon. Koa er derimot mer minimalistisk, og gir deg frihet i bytte mot ansvar.|Two web frameworks for Node.js that are successors to Express with some important differences between them: Fastify emphasizes convention over configuration. Koa, on the other hand, is more minimalist, and gives you freedom in exchange for responsibility.
frameworks|frontend|flutter|TEST|FALSE|Vår begrensede erfaring med Flutter for Web gjør at vi ønsker at utviklerne våre skal gjøre varsomme forsøk med det.|Our limited experience with Flutter for Web makes us want our developers to be cautious with it.
frameworks|frontend|preact|TEST|FALSE|Preact tilbyr en noe mindre kjøretidspakke enn det React gjør i bytte mot et begrenset funksjonalitetssett. Vi har lite erfaring med hvor begrensende dette er, og vil gjerne ha erfaringer.|Preact offers a slightly smaller runtime package than React does in exchange for a limited feature set. We have little experience with how limiting this is, and would like to have experiences.
frameworks|frontend|Angular|HOLD|FALSE|Angular er ikke et alternativ for nyoppstartede prosjekter|Angular is not an option for new projects
frameworks|frontend|jQuery|HOLD|FALSE|jQuery er ikke et alternativ for nyoppstartede prosjekter.|jQuery is not an option for new projects.
methods|frontend|CSS-in-JS|ADOPT|TRUE|CSS-in-JS gjør kodebaser lettere å holde styr på, med en liten kjøretidskostnad for brukeren (fordi CSS-en må påføres av Javascript-kode). Bruk hvis brukerne dine kan tåle denne merkostnaden.|CSS-in-JS makes codebases easier to keep track of, with a small runtime cost for the user (because the CSS has to be applied by Javascript code). Use if your users can tolerate this additional cost.
methods|frontend|Funksjonell stil når du kan, imperativt når du må|ADOPT|TRUE|Imperativ programmering er lettere for nybegynnere og tidvis mer effektivt, men erfarne programmerere bør legge seg til en funksjonell stil av hensyn til testbarhet og feilsøking.|Imperative programming is easier for beginners and sometimes more effective, but experienced programmers should adopt a functional style for the sake of testability and debugging.
methods|frontend|Serverless Hosting - Object Storage|ADOPT|TRUE|Serverless hosting sparer deg for tid du ville brukt på å måtte vedlikeholde en tjener, selv i skyen. Object Storage lar deg lagre filer og data som brukes i tjenerløse applikasjoner, for eksempel bilder. Amazons S3 er et eksempel.|Serverless hosting saves you from having to maintain a server, even in the cloud. Object Storage lets you store files and data used in serverless applications, such as images. Amazon's S3 is an example.
methods|frontend|HTML over the wire|TRIAL|TRUE|Å rendre HTML på tjeneren og overføre den til klienten gir noen kjøretidsfordeler, men vi vil fortsatt se om gevinsten er verdt ulempene.|Rendering HTML on the server and transferring it to the client provides some performance benefits, but we'll still see if the benefits are worth the drawbacks.
methods|frontend|i18n|ADOPT|FALSE|"Gjør appen klar for internasjonalisering fra første stund; få tjenester i Norge lever lenge uten å få en engelsk eller nynorsk variant i tillegg til bokmål."|"Get the app ready for internationalization from the start; many services in Norway live on without ever getting an English or Norwegian variant in addition to Bokmål."
methods|frontend|Immutable data|ADOPT|FALSE|Bruk teknikker som spreading og funksjoner Array.prototype.slice fremfor å mutere enkelte deler av objekter og arrays. Det gjør det lettere å hanskes med oppdateringer og å finne ut når endringer skjer.|Use techniques such as spreading and Array.prototype.slice functions rather than mutating individual parts of objects and arrays. It makes it easier to deal with updates and to find out when changes occur.
methods|frontend|Lazy Loading|ADOPT|FALSE|Unngå å laste inn Javascript du ikke vet du trenger å bruke. Moderne bundlere og rammeverk inneholder mange metoder for å lazy-loade deler av en SPA, slik at den først lastes ned og parses av datamaskinen idet brukeren trenger den.|Avoid loading in Javascript that you don't know you need to use. Modern bundlers and frameworks contain many methods for lazy-loading parts of an SPA, so that it is only downloaded and parsed by the computer when the user needs it.
methods|frontend|prioriter feilhåndtering og beskrivelse|ADOPT|FALSE|Lag apper som krasjer sjelden, og fortell brukerne dine så godt du kan hva årsaken til krasjen er. Da blir brukerne fornøyde, og tilbakemeldingene du får bedre.|Make apps that crash rarely, and tell your users as best you can what the cause of the crash is. That will make users happy, and the feedback you get will be better.
methods|frontend|#REF!|#REF!|TRUE|#REF!|#REF!
methods|frontend|Microfrontends|TRIAL|FALSE|Vi er usikre på om gevinstene ved mikro-frontender (uavhengighet) er verdt ulempene (organisatoriske merkostnader, vanskeligere prosjektoppsett og økt nedlastingsstørrelse). |We are unsure if the benefits of micro-frontends (independence) are worth the disadvantages (organizational overhead, more difficult project setup, and increased download size).
methods|frontend|Småbiblioteker av JS-onelinere|HOLD|FALSE|Skriv heller koden selv eller kopier inn koden. Husk på å oppgi de lisensene du bruker!|Either write the code yourself or copy it in. Remember to list the licenses you use!
methods|frontend|Global state|HOLD|FALSE|Å sentralisere all tilstand i ett stort objekt, som i for eksempel Redux, var en trend for rundt fem år siden. Vi beveger oss nå bort fra det fordi apper (som regel) blir tregere av å gjøre oppdateringer inni ett objekt. Det er også vanskeligere for utviklerne å forholde seg til.|Centralizing all state in one large object, as in for example Redux, was a trend around five years ago. We are now moving away from that because apps (usually) become slower from making updates inside one object. It is also more difficult for developers to keep track of.
methods|frontend|#REF!|#REF!|TRUE|#REF!|#REF!
tools|frontend|Redux for React|HOLD|TRUE|Global tilstand er tregt for brukerne og vanskelig for utviklere å forholde seg til. Foretrekk mindre biter.|The global state is slow for users and difficult for developers to keep track of. Prefer smaller pieces.
tools|frontend|MSW|ADOPT|TRUE|Et bibliotek som lar deg mocke (erstatte) såkalte Service Workers i testene dine. Vi har prøvd dette og er fornøyde.|A library that lets you mock (replace) so-called Service Workers in your tests. We've tried it and are happy with it.
tools|frontend|React Hook Form|ADOPT|TRUE|Dagens beste alternativ for skjemahåndtering i React: Raskt.|Today's best option for schema handling in React: Quick.
tools|frontend|Sentry / loggly|ADOPT|TRUE|De beste alternativene for å logge feil som hender hos brukerne.|The best options for logging errors that happen to users.
tools|frontend|Vite|TRIAL|TRUE|En god, rask bundler som fungerer for de aller fleste prosjekter. Mindre konfigurering enn Webpack.|A good, fast bundler that works for most projects. Less configuration than Webpack.
tools|frontend|Reach UI|TRIAL|TRUE|Et komponentbibliotek med mål om å være en selvsagt grunnpillar i ethvert React-basert designsystem. |A component library with the goal of being a natural foundation in any React-based design system.
tools|frontend|PostCSS|ADOPT|TRUE|Et modent verktøy som lar deg bruke den nyeste CSS-en uten å bekymre deg for brukernes opplevelse.|A mature tool that lets you use the latest CSS without worrying about the user experience.
tools|frontend|Formik|HOLD|TRUE|Et mer ordrikt alternativ og tregere alternativ til React-Hook-Form som ikke oppdateres hyppig. |A more verbose and slower alternative to React Hook Form that isn't updated often.
tools|frontend|Webpack|KEEP|TRUE|Et nødvendig onde mens verktøy som Vite modnes.|A necessary evil while tools like Vite mature.
tools|frontend|Esbuild|TRIAL|TRUE|Esbuild er et raskere alternativ til Babel. Dårligere støtte for gammel syntaks, for eksempel CommonJS-moduler. |Esbuild is a faster alternative to Babel. poorer support for old syntax, such as CommonJS modules.
tools|frontend|ESLint|ADOPT|FALSE|Eslint er bransjestandarden for å håndheve stilregler i ethvert prosjekt.|Eslint is the industry standard for enforcing style rules in any project.
tools|frontend|Prettier|ADOPT|FALSE|En rask formaterer med få konfigurasjonstilvalg.|A fast formatter with few configuration options.
tools|frontend|Fathom (personvernorientert Google Analytics-alternativ)|TRIAL|FALSE|Fathom og andre personvernorienterte analyseverktøy er svært nødvendige å få erfaring med nå som Google Analytics sannsynligvis er å regne som ulovlig i Europa.|Fathom and other privacy-oriented analytics tools are essential to get experience with now that Google Analytics is likely to be considered illegal in Europe.
tools|frontend|Moment|HOLD|FALSE|Et overdimensjonert bibliotek i rene kilobytes. Bruk heller date-fns.|A oversized library in pure kilobytes. Use date-fns instead.
tools|frontend|Underscore|HOLD|FALSE|Bruk vanlig Javascript hvis du kan og lodash hvis du må.|Use regular Javascript if you can and lodash if you must.
tools|frontend|Selenium|HOLD|FALSE|Bruk Cypress i stedet.|Use Cypress instead.
tools|frontend|Lodash|KEEP|FALSE|Lodash er et rikholdig bibliotek med generelle funksjoner. Det blir stadig mindre nødvendig, ettersom de beste idéene fra lodash blir tatt inn i Javascript som metoder på arrays og objekter (for eksempel Array.prototype.map, og nå i nyere tid lodashs groupBy, som er blitt til Array.prototype.group).|Lodash is a rich library with general functions. It is becoming increasingly unnecessary, as the best ideas from lodash are being taken into Javascript as methods on arrays and objects (for example Array.prototype.map, and more recently lodash's groupBy, which has become Array.prototype.group).
tools|frontend|#REF!|#REF!|TRUE|#REF!|#REF!
tools|frontend|web-components|TRIAL|FALSE|web-komponenter er gjenbrukbarekomponenter som er skrevet i ren HTML, CSS og Javascript. Derfor kan de gjenbrukes, uavhengig av hvilket rammeverk man bruker. Ulempen er at de er vanskelige å tegne opp på tjenersiden (SSR), som gjør at de ikke er fullt så universelle å bruke som de burde vært.|Web components are reusable components written in pure HTML, CSS and Javascript. Therefore, they can be reused regardless of which framework is used. The downside is that they are difficult to render on the server side (SSR), which makes them not as universal as they should be.
tools|frontend|MDX|TRIAL|FALSE|Dette burde oversettes fra engelsk til norsk|MDX is a syntax extension for Markdown that allows you to write JSX inline. This makes it possible to write JSX components that render to Markdown, and embed React components in your markdown documents.
tools|frontend|#REF!|#REF!|TRUE|#REF!|#REF!
languages|cloud|Java|KEEP|FALSE|De største er fremdeles størst, og de siste årene har ny funksjonalitet kommet mye raskere|The most used language amongst our customers, and new features has been added more quickly recently
languages|cloud|CloudFormation|KEEP|FALSE|For AWS er dette det best støttede IaC-språket, selv om Terraform er bedre hvis du ønsker gjenbruk mellom skyer eller for generiske tjenester|For AWS, this is the best supported IaC language, although Terraform is better if you want reuse between clouds or for generic services
languages|cloud|Javascript|KEEP|FALSE||
languages|cloud|Kotlin|ADOPT|TRUE)|For alle nye prosjekter på JVM anbefaler vi at du vurderer Kotlin, da det er et mer ergonomisk språk, særlig i et miljø som får god effekt av noen av Kotlins sterkeste punkter, som immutabilitet, coroutines og sterk støtte for asynkrone APIer|For all new projects on the JVM, we recommend that you consider Kotlin, as it is a more ergonomic language, especially in an environment that benefits from some of Kotlin's strongest points, such as immutability, coroutines, and strong support for asynchronous APIs
languages|cloud|Typescript|ADOPT|FALSE|Javascript med statiske typer, og som krever en mer moderne stack. What's not to like?|Javascript with static types, and which requires a more modern stack. What's not to like?
languages|cloud|Python|ADOPT|TRUE)|Python er en av de raskeste måtene å prototype avansert funksjonalitet, eller lage mikrotjenester for FaaaS-arkitektur på. Ytelse blir sjelden et problem i praksis, men for tjenester hvor man vet at dette kan bli kritisk bør man kanskje kjøre litt ytelsestesting i prototyping-fasen for å være sikker.|Python is one of the fastest ways to prototype advanced functionality, or create microservices for FaaaS architecture. Performance rarely becomes a problem in practice, but for services where you know this can be critical, you should perhaps run some performance testing in the prototyping phase to be sure.
languages|cloud|Go|TRIAL|TRUE)|Et moderne språk med et etter hvert temmelig solid økosystem. La deg ikke lure av hvor "enkelt" språket er - kompleksiteten ligger rett under overflaten, og nesten alt er mulig. Kompilasjon til statiske binærfiler gjør dette til et spesielt godt valg for FaaS og mikrotjenester.|A modern language with an increasingly solid ecosystem. Don't be fooled by how "simple" the language is - the complexity lies just beneath the surface, and almost anything is possible. Compiling to static binaries makes this a particularly good choice for FaaS and microservices.
languages|cloud|Rust|TRIAL|FALSE|Rust er kanskje det beste språket for å skrive "sikker" funksjonalitet. Du vet alltid hvor minnet ditt er, og hva som ligger der. (Hvis du bruker språket riktig.) Merk at selv om økosystemet er solid og har enormt god støtte fra ildsjeler, er det fremdeles krevende å sette seg inn i Rust, og det er i praksis veldig vanskelig for ett team å jobbe alene med Rust i en organisasjon som er fokusert på et annet språk..|Rust is perhaps the best language for writing "safe" functionality. You always know where your memory is and what is there. (If you use the language correctly.) Note that although the ecosystem is solid and has tremendously good support from the community, it is still a demanding language to learn, and it is practically very difficult for one team to work alone with Rust in an organization that is focused on another language..
languages|cloud|Scala|HOLD|FALSE|Scalas utvikling har ikke stoppet, og Scala 3.0 kom ut for ikke så lenge siden. Likevel er det ikke mulig å se bort fra at Kotlin har tatt over rollen som "utfordreren på JVM", og vi anbefaler ikke nye prosjekter å bruke Scala.|Scala's development never stopped, and Scala 3.0 was released not too long ago. Nevertheless, it is not possible to ignore that Kotlin has taken over the role of the "challenger on the JVM", and we do not recommend new projects to use Scala.
technologies|cloud|VMs|KEEP|TRUE|Det er vanskelig å slå ytelsen ved å bare kjøre appen på alle kjerner og all minne du har tilgjengelig. For monolitter og krevende tjenester som ikke er lette å kjøre i parallel er VMer derfor fremdeles et godt valg. |It is difficult to beat the performance by just running the app on all the cores and all the memory you have available. For monoliths and demanding services that are not easy to drive in parallel, Vmer is therefore still a good choice.
technologies|cloud|Google Compute Engine|KEEP|FALSE||
technologies|cloud|Kafka|KEEP|FALSE|Blant alle de skynøytrale køplattformene, er Kafka den som har fått mest oppmerksomhet. Det er enkelt å se hvorfor - den kombinerer funksjonalitet de andre ikke har, med bred dekning blant PaaS leverandører og ikke minst en bevist ytelse og skalering over tid.|Among all the cloud-neutral queuing platforms, Kafka is the one that has received the most attention. It is easy to see why - it combines functionality that the others do not have, with broad coverage among PaaS providers and not least a proven performance and scaling over time.
technologies|cloud|Skyplattformenes egne køtjenester|ADOPT|FALSE|Selv om Kafka er en populær plattform som er forholdsvis enkel og drifte, har den fremdeles en vedlikeholdsbyrde som ikke er å kimse av. Dette slipper du unna dersom du bruker skyleverandørenes egen stack. Disse er også nesten alltid billigere, selv om de kan være litt mindre fleksible enn Kafka.|Although Kafka is a popular platform that is relatively simple and easy to operate, it still has a maintenance burden that cannot be ignored. You avoid this if you use the cloud providers' own stack. These are also almost always cheaper, although they may be slightly less flexible than Kafka.
technologies|cloud|AWS API Gateway|ADOPT|FALSE||
technologies|cloud|FaaS (Lambda/Google Cloud Functions, Cloud Run)|ADOPT|TRUE|Det er ingenting som er mer befriende enn å bare lage en liten kodebit som gjør én enkel ting, og så bare la den leve sitt eget liv uten at den koster deg noe i drift eller teknisk gjeld. Husk bare å oppdatere dependencies, helst automatisk.|There is nothing more liberating than just creating a small piece of code that does one simple thing, and then just letting it live its own life without costing you anything in operation or technical debt. Just remember to update dependencies, preferably automatically.
technologies|cloud|AWS CloudFront|ADOPT|FALSE||
technologies|cloud|AWS DynamoDB|ADOPT|FALSE|En uendelig skalerbar, billig og rask dokumentdatabase. What's not to like? Vel, skjemasystemet gjør det litt vanskelig å lage enkle søk, og er veldig tregt å kjøre spørringer på alle radene. Likevel er det flere fordeler enn ulemper her!|An infinitely scalable, cheap and fast document database. What's not to like? Well, the form system makes it a bit difficult to create simple queries, and is very slow to run queries on all the rows. Still, there are more pros than cons here!
technologies|cloud|Google BigQuery|ADOPT|FALSE|Den ubetvilte standarden på spørringer i big data. Du må jobbe hardt for å få til noe tilsvarende selv, og selv Azures og AWS' tjenester kan ikke måle seg. Med BigQuery ML og Looker kan du også gjøre ting du ellers må bruke kombinasjoner av flere tjenester for å få til.|The default standard for big data queries. You have to work hard to build something similar yourself, and even Azure's and AWS' services cannot compare. With BigQuery ML and Looker, you can also do things that you would otherwise have to use combinations of several services to achieve.
technologies|cloud|AWS RDS|ADOPT|FALSE|Hvorfor drifte server når du bare kan opprette en database og koble til med en gang? La noen andre bry seg om vedlikehold, patching og slikt. De er sikkert flinkere enn deg uansett.|Why run a server when you can just create a database and connect right away? Let someone else take care of maintenance, patching and such. They're probably better at it than you anyway.
technologies|cloud|Google Storage|ADOPT|FALSE|Mens AWS S3 har vært på markedet lenger, har Google Storage et minst like bra tilbud. Det er også billigere, og snart kan du lagre ting på norsk jord.|While AWS S3 has been on the market longer, Google Storage has at least as good an offering. It is also cheaper, and soon you will be able to store things on Norwegian soil.
technologies|cloud|AWS Athena|TRIAL|FALSE||
technologies|cloud|AWS Cognito|TRIAL|FALSE||
technologies|cloud|Databricks|TRIAL|FALSE||
technologies|cloud|Micronaut|TRIAL|TRUE|Et lettere rammeverk enn Spring Boot, med mange av de samme funksjonene. I tillegg kan du kompilere koden med GraalVM og ende opp med et Dockerimage som starter på noen få millisekunder|A lighter framework than Spring Boot, with many of the same features. In addition, you can compile the code with GraalVM and end up with a Dockerimage that starts in a few milliseconds
technologies|cloud|AWS Redshift|TRIAL|FALSE||
technologies|cloud|AWS X-Ray|TRIAL|FALSE||
technologies|cloud|Google BigQuery ML|TRIAL|FALSE|Med BigQuery ML kan du bruke det kjente BigQuery interfacet og de samme datasettene til å seede ML modeller som du senere kan bruke i produksjon overalt. Dette kan bli dyrt, men det kan også gjøre ML tilgjengelig for dataanalytikere som ellers ville kviet seg for å lære seg andre verktøy.|With BigQuery ML, you can use the familiar BigQuery interface and the same data sets to seed ML models that you can later use in production everywhere. This can be expensive, but it can also make ML accessible to data analysts who would otherwise be reluctant to learn other tools.
technologies|cloud|AWS SageMaker|TRIAL|FALSE||
technologies|cloud|AWS Glue|TRIAL|FALSE||
technologies|cloud|Google Anthos|TRIAL|TRUE|Anthos er Googles PaaS løsning for Kubernetes, og kombinerer GKE med Anthos Service Mesh (basert på Istio) og en rekke støtteverktøyer. Vi har god erfaring med dette som on-prem skyplattform, og anbefaler at alle som bygger hybridsky evaluerer dette.|Anthos is Google's PaaS solution for Kubernetes, and combines GKE with Anthos Service Mesh (based on Istio) and a number of support tools. We have good experience with this as an on-prem cloud platform, and recommend that everyone who builds a hybrid cloud evaluates this.
technologies|cloud|Cloudflare Workers|TEST|FALSE|En veldig billig FaaS-løsning som lover enklere administrasjon. "You write code. We handle the rest." lover de, og vi håper de har rett, for AWS Lambda krever veldig mye administrasjon for å få til IAM, databasetilkoblinger osv.|A very cheap FaaS solution that promises easier administration. "You write code. We handle the rest." they promise, and we hope they're right, because AWS Lambda requires a lot of administration to get IAM, database connections, etc.
technologies|cloud|AWS Aurora Serverless|TEST|FALSE|Billig og enkel Postgres/MySQL-kompatibel database. Serverless, så betaler bare for bruk og lagring. Dette kan man spare mye på. Forhåpentligvis tar dette over rollen til "vanlig" RDS.|Cheap and simple Postgres/MySQL compatible database. Serverless, so you only pay for use and storage. You can save a lot on this. Hopefully this will outcompete RDS.
technologies|cloud|AWS ECS Anywhere|TEST|FALSE|AWS versjon av Anthos, men uten den sikkerheten man får via Service Mesh. Likevel interessant for de som allerede har bestemt seg for å bruke AWS på sky.|AWS version of Anthos, but without the security you get via Service Mesh. Still interesting for those who have already decided to use AWS on cloud.
technologies|cloud|AWS ECS|HOLD|FALSE|Folket har talt - Kubernetes har tatt over på godt og vondt. Vi anbefaler å bruke EKS på alle nye prosjekter.|The people have spoken - Kubernetes has taken over for better or for worse. We recommend using EKS on all new projects.
technologies|cloud|AWS Lightsail|HOLD|FALSE|Folket har talt - Kubernetes har tatt over på godt og vondt. Vi anbefaler å bruke EKS på alle nye prosjekter.|The people have spoken - Kubernetes has taken over for better or for worse. We recommend using EKS on all new projects.
methods|cloud|CI/CD|KEEP|FALSE|CI/CD har vokst seg til en gigantisk bevegelse, og selv om det kan være vanskelig å sette seg inn i de forskjellige verktøyene og hva ting EGENTLIG gjør - er det kommet for å bli. CI/CD gjort riktig sikrer både utviklingshastigheten og kvaliteten på koden via testing.|CI/CD has grown into a giant movement, and although it can be difficult to get to grips with the various tools and what things REALLY do - it's here to stay. CI/CD done right ensures both the speed of development and the quality of the code via testing.
methods|cloud|Cloud Native Development|KEEP|FALSE|Skyen har kommet for å bli. Selv om du ikke jobber mot skyen i dag, vil du antageligvis gjøre det i fremtiden. Fordelene ved å bruke Cloud Native teknologier i dag er at du både vil være forberedt på fremtiden, og at det du lager antageligvis vil kunne brukes lenger. Dessverre er dette vanskelig å gjøre i en umoden organisasjon...|The cloud is here to stay. Even if you don't work against the cloud today, you probably will in the future. The advantages of using Cloud Native technologies today are that you will both be prepared for the future, and that what you create will probably be able to be used for longer. Unfortunately, this is difficult to do in an immature organization…
methods|cloud|Event-driven development|ADOPT|FALSE|Asynkron og eventbasert utvikling (og datamodellering) har bevist sin verdi - og ingen steder er dette viktigere enn på skyen. Dette er den beste måten å bli kvitt gamle paradigmer på, men ikke prøv å skrive om en monolitt! Bytt heller ut deler av monolitten med FaaS-funksjoner som kommuniserer via køer. Lykke til!|Asynchronous and event-based development (and data modeling) has proven its value - and nowhere is this more important than in the cloud. This is the best way to get rid of old paradigms, but don't try to rewrite a monolith! Instead, replace parts of the monolith with FaaS functions that communicate via queues. Good luck!
methods|cloud|Event sourcing|ADOPT|FALSE||
methods|cloud|Infrastructure as Code|ADOPT|FALSE|Unngå manuelle steg, og bruk Terraform eller CloudFormation/CDK. Automatisk repeterbare handlinger gjør det fantastisk mye enklere å sikre at den koden du tester lokalt på din maskin faktisk vil fungere på skyen også!|Avoid manual steps and use Terraform or CloudFormation/CDK. Automatically repeatable actions make it incredibly much easier to ensure that the code you test locally on your machine will actually work in the cloud too!
methods|cloud|DORA Metrics|ADOPT|FALSE|Flere og flere verktøy i CI/CD-sfæren gjør det nå mulig å måle disse fire metrikkene for å måle utviklingshastighet og driftsstabilitet. Problemet er at det ikke finnes noen enkel måte å samle inn alle metrikkene og vise de på samme sted. Mens vi fremdeles venter på dette universalverktøyet (eller en standard som gjør det enklere å lage slike verktøy) kan vi i hvert fall samle inn noen av tallene manuelt med jevne mellomrom og sjekke om det faktisk går fremover. |More and more tools in the CI/CD sphere now make it possible to measure these four metrics to measure development speed and operational stability. The problem is that there is no easy way to collect all the metrics and display them in one place. While we're still waiting for this universal tool (or a standard that makes it easier to create such tools) we can at least collect some of the numbers manually on a regular basis and check if it's actually moving forward.
methods|cloud|Identity and Access Management|ADOPT|FALSE|IAM-systemene til skyleverandørene er dessverre veldig krevende, og ofte må selv gruppeledere på forholdsvis lavt nivå forholde seg til disse. Likevel er det helt kritisk at dette verktøyet brukes riktig. En stor andel sikkerhetsproblemer stammer fra uriktig bruk av IAM-systemet, eller rett og slett en misforståelse i hvilke rettigheter som bør gis i hvilke situasjoner. Skyleverandørene har i det siste fått øynene opp for automatisk varsling av mulige feilkonfigurasjoner, og det er en stor hjelp.|Unfortunately, the IAM systems of the hyperscalers are very demanding, and often even group leaders at a relatively low level have to deal with these. Nevertheless, it is absolutely critical that this tool is used properly. A large proportion of security issues derived from the incorrect use of the IAM system, or simply a misunderstanding in which rights should be given in which situations. The hyperscalers have recently caught the eye for automatic notification of possible error configurations, which is a great help.
methods|cloud|NoOps|TRIAL|FALSE|SaaS som eneste måte å kjøre programvare på er foreløpig en utopi for veldig mange, men hvis du har muligheten til å eliminere all drift er dette noe du absolutt bør undersøke. |Saas as the only way to run software is currently an utopia for many, but if you have the opportunity to eliminate all operations, this is something you should definitely investigate.
methods|cloud|SecOps|ADOPT|FALSE|Sikkerhet bør være en kjernedel av utviklingspraksisen din. I stedet for et eksternt team av "sikkerhetsekspert" som sitter og skaper best practices for hele selskapet, bør hele teamet ditt bli utdannet til å bruke best practices for ditt felt når du lager produktet ditt. Den beste praksis for en backend-utvikler er ikke den samme som beste praksis for en produkteier, og ethvert sett med "best practices som prøver å dekke begge vil per definisjon være mindre enn best for begge to.|Security should be a core part of your development practice. Instead of an external team of "security expert" who sit around creating best practices for the entire company, your entire team should be educated to use the best practices for your field when creating your product. The best practices for a backend developer are not the same as the best practices for a product manager, and any set of "best practices" that try to cover both will by definition be less than best for either.
tools|cloud|Docker Desktop|KEEP|TRUE|Docker har med sin overgang til ny lisensmodell gjort det vanskelig å uforbeholdent anbefale å bruke Docker Desktop. Samtidig har Kubernetes byttet ut Docker med ContainerD, noe som gjør firmaet Docker mindre og mindre relevant. Samtidig er det enda ikke en god erstatter for Docker Desktop for utvikling på egne maskiner, da de eksisterende verktøyene har en mer umoden brukeropplevelse, og ofte mangler funksjonalitet. Vi ser frem til den dagen vi har et verktøy som kan ta over her, men anbefaler ingen å bytte enda.|With its transition to a new license model, Docker has made it difficult to unreservedly recommend using Docker Desktop. At the same time, Kubernetes has replaced Docker with ContainerD, making the company Docker less and less relevant. At the same time, it is not yet a good replacement for Docker Desktop for development on your own machines, as the existing tools have a more immature user experience, and often lack functionality. We look forward to the day when we have a tool that can take over here, but do not recommend anyone to switch just yet.
tools|cloud|CircleCI|KEEP|TRUE|CircleCI er fremdeles et av de SaaS-tjenestene for CI som har best økosystem, dokumentasjon og gjennomføringsevne. Github Actions er en sterk utfordrer, og vi mistenker at siste ord ikke er sagt - men CircleCI er fremdeles best her.|CircleCI is still one of the SaaS services for CI that has the best ecosystem, documentation and implementation capabilities. Github Actions is a strong contender, and we suspect that the last word has not been said - but CircleCI is still the best here.
tools|cloud|Terraform|ADOPT|FALSE|Terraform er fremdeles det beste verktøyet for de fleste tilfeller. Med mindre du er tungt investert i AWS som eneste skyplattform, er dette alltid verktøyet du burde bruke. |Terraform is still the best tool for most cases. Unless you are heavily invested in AWS as the only cloud platform, this is always the tool you should use.
tools|cloud|Cloud Secret Management tools|ADOPT|TRUE|Nøkler og sertifikater som sjekkes inn i git-repoet er en klisjé, men det skjer fremdeles. Og det er ikke den eneste måten slike ting blir lekket på. Ved riktig bruk av Hashicorp Vault eller skyleverandørenes egne verktøy kan du unngå å bruke nøkler og sertifikater manuelt, og i stedet konfigurere (via IaC!) CI/CD pipelinen til selv å ta seg av opprettelse, fornyelse og rettighetsfordeling selv. Slik slipper du både å lagre nøkler på laptopen din, og i det hele tatt å tenke på nøkler som en del av utviklingsprosessen!|Keys and certificates checked into the Git repos are a cliché, but it still happens. And that's not the only way such things are leaked. When using Hashicorp Vault or the cloud suppliers' own tools, you can avoid using keys and certificates manually, and instead configure (via IaC!) the CI/CD pipelines to take care of creation, renewal and cascading of correct usage attributes yourself. This way, you don't have to store any keys on your laptop, or even handle keys as part of the development process!
tools|cloud|Cloud Logging|ADOPT|FALSE|Oppbevaring og søk i logger er tungvint, vanskelig og dyrt. Alle skyleverandørene har nå moderne og beviste verktøy, og selv AWS CloudWatch begynner å bli bra nok - på tross av at det fremdeles praktisk talt er umulig å søke på tvers av alle logger. Så lenge du passer på at ingen sensitiv data blir logget er det ikke lenger noen god grunn til å behandle logger spesielt, og det er både enklere og i mange tilfeller billigere å bare legge også denne delen av driftshverdagen over på spesialistene, og fokusere på vår kjernefunksjonalitet i stedet.|Storage and searches of logs are cumbersome, difficult and expensive. All cloud suppliers have now mature and proven tools, and even AWS Cloudwatch is starting to be good enough - despite the fact that it is still practically impossible to search across all logs. As long as you take care that no sensitive data is logged there is no longer any good reason to treat logs as sensitive data, and it is both simpler and in many cases cheaper to just throw this burden over to the specialists and focus on our core business instead.
tools|cloud|Managed Kubernetes|ADOPT|FALSE|Ikke drift Kubernetes selv. Just don't. Hvis du absolutt må ha noe on-prem, bruk Google Anthos eller noe lignende.|Do not operate Kubernetes yourself. Just don't. If you absolutely need something on-prem, use Google Anthos or something similar.
tools|cloud|Github Actions|TRIAL|FALSE|This practically new Github feature has had an enormous growthcurve, and it's now extremely mature for its age. The ecosystem is huge, and what previously had to be done through workarounds has been simplified or simply added as default features. Everything Just Works now, and it's on the way to becoming the best CI tool. |#REF!
tools|cloud|Google Cloud Composer/Apache Airflow|TRIAL|FALSE||
tools|cloud|Google Datastudio|TRIAL|FALSE||
tools|cloud|||FALSE||
tools|cloud|Google Dataflow/Apache Beam|TRIAL|FALSE||
